Carrier,Title,State,Zip code,Hiring radius miles,Multi zip codes,Job Details,Pay Details,Equipment Details,Key Disqualifiers,Requirements
JB Hunt,Brattleboro VT | Tier 1,VT,5301,50,,"Category,Details
Job Description,Local delivery of fresh and frozen groceries to supermarkets and DCs within a 250-mile radius.
Freight Type,Reefer (Fresh and frozen groceries)
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home daily
Dedicated Account?,Yes
Avg Weekly Miles,""1,600""
No Touch Freight,No (Assisted unload mixture)
Driver Load / Unload,Driver unload required at some locations (Pallet jack)","Category,Details
Average Weekly Pay,""$2,115 (Yearly average ~$110,000)""
CPM Range,$0.53 – $0.61 CPM
Stop Pay,$22.50 per stop
Short Haul Pay,N/A
Bonuses,$50/day ($250/week total if all 5 days are worked)
Training Pay,$200/day (New Hire); $20/hr (Safety Training)
Accessorial Pay,Detention ($15/hr after 1hr); Layover ($100/day)
Holiday Pay,$160/day","Category,Details
Equipment Type,Assigned automatic day cabs
Transmission Type,Automatics
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only""
Bunks,None","Category,Details
SAP Drivers,Allowed (Must be at least 1 year old)
Teams Accepted,No
Owner Operators,Not Specified
Trainees,No","Category,Details
Experience Required,3 months
Endorsements,REAL ID CDL recommended (for military base deliveries)
Residency,Must have personal transportation to/from Brattleboro terminal
Shift / Schedule,Starts between 12:00 am – 5:00 am (12-hour shifts)
Work Days,Monday – Friday + every other Saturday
Hiring Area,""MA, NH, NY, VT"""
JB Hunt,Brattleboro VT | Tier 1,VT,5301,50,,"Category,Details
Job Description,Local delivery of fresh & frozen groceries to supermarkets and DCs within a 250-mile radius.
Freight Type,Reefer (Fresh & Frozen Groceries)
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home daily; no take-home trucks allowed.
Dedicated Account?,Yes
Avg Weekly Miles,""1,600""
No Touch Freight,No (Mix of no-touch and assisted unload)
Driver Load / Unload,Driver unload required at some locations (Pallet jack)","Category,Details
Average Weekly Pay,""$1,730 (Yearly average $90,000)""
CPM Range,$0.53 – $0.61 per mile
Stop Pay,$22.50 per stop
Short Haul Pay,N/A
Bonuses,$50/day (Must work all 5 days to receive $250/week total)
Training Pay,$200/day (New Hire); $20/hr (Safety Training)
Accessorial Pay,Detention ($15/hr after 1hr); Layover ($100/day)
Holiday Pay,$160/day","Category,Details
Equipment Type,Assigned automatic day cabs
Transmission Type,Automatics
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only""
Bunks,None","Category,Details
SAP Drivers,Allowed (Must be at least 1 year old)
Teams Accepted,No
Owner Operators,Not Specified
Trainees,No","Category,Details
Experience Required,3 months
Endorsements,REAL ID CDL recommended (for military base deliveries)
Residency,Must have personal transportation to/from Brattleboro terminal.
Shift / Schedule,Starts between 12:00 am – 5:00 am (Shift window).
Work Days,5-day work week; Sunday & Wednesday Off.
Hiring Area,""MA, NH, NY, VT"""
JB Hunt,C&S - Brattleboro VT | Tier 1 (Sun/Wed Off),VT,5301,50,,"Category,Details
Job Description,Local delivery of fresh & frozen groceries to supermarkets & distribution centers within a 250-mile radius. Runs Greater Boston; No NYC.
Freight Type,Reefer (Fresh & Frozen Groceries)
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home daily; Trucks remain at project (no take-home).
Dedicated Account?,Yes
Avg Weekly Miles,""1,600""
No Touch Freight,No (Mix of no-touch and assisted unload)
Driver Load / Unload,Driver unload required at some locations (Electric pallet jack).","Category,Details
Average Weekly Pay,""$1,730 (Yearly average $90,000)""
CPM Range,$0.53 – $0.61 per mile
Stop Pay,$22.50 per stop
Daily Rate Bonus,$50/day (Must work all 5 days to receive $250/week total)
Training Pay,$200/day (New Hire); $20/hr (Safety Training)
Accessorial Pay,Detention ($15/hr after 1hr); Layover ($100/day); Refused Delivery ($22.50)
Holiday Pay,$160/day","Category,Details
Equipment Type,Assigned automatic day cabs
Transmission Type,Automatics
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only""
Bunks,None","Category,Details
SAP Drivers,Allowed (Must be at least 1 year old)
Teams Accepted,No
Owner Operators,Not Specified
Trainees,No","Category,Details
Experience Required,3 months
Endorsements,REAL ID CDL recommended (for military base deliveries)
Residency,""Personal transportation required for commute to Brattleboro, VT.""
Shift / Schedule,Start window: 12:00 am – 5:00 am (12-hour shifts).
Work Days,5-day work week; Sunday & Wednesday Off.
Hiring Area,""MA, NH, NY, VT"""
JB Hunt,Ahold - Schodack Landing NY | Tier 1,NY,12156,50,,"Category,Details
Job Description,""Local dedicated delivery of palletized groceries. Operating within 250 miles of Albany, NY. No NYC.""
Freight Type,Dry Van & Reefer (Palletized)
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home daily; trucks remain at the DC (no take-home).
Dedicated Account?,Yes
Avg Weekly Miles,Varies (Radius-based)
No Touch Freight,No
Driver Load / Unload,Driver Unload Required (Tailgate palletized freight using pallet jack).","Category,Details
Average Weekly Pay,""$1,857 (Yearly average $96,600)""
CPM Range,$0.76 – $0.78 CPM
Stop Pay,$40.00 per stop
Drop & Hook,$25.00 per drop
Daily Rate Bonus,$94/day (Must work all 5 days to receive)
Training Pay,$240/day (New Hire); $20/hr (Safety Training)
Holiday Pay,$200/day","Category,Details
Equipment Type,Automatic day cabs; 48' & 53' trailers.
Transmission Type,Automatics
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only""
Bunks,None (Slip seat)","Category,Details
SAP Drivers,Allowed (Must be at least 1 year old)
Teams Accepted,No
Owner Operators,Not Specified
Trainees,No","Category,Details
Experience Required,3 months
Residency,""Must have personal transportation to/from Schodack Landing, NY.""
Shift / Schedule,Start window: 2100 – 0100 (Varied start times).
Work Days,Thursday – Monday; 6th day voluntary (mandatory during peak seasons).
Hiring Area,""CT, MA, NY, VT"""
JB Hunt,Ahold - Schodack Landing NY | Tier 1 (Fri-Tue Shift),NY,12156,50,,"Category,Details
Job Description,""Local dedicated delivery of palletized groceries for Ahold Delhaize. Operating within a 250-mile radius of Albany, NY. NO NYC.""
Freight Type,Dry Van & Reefer (Palletized)
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home daily; trucks remain at the account (no take-home).
Dedicated Account?,Yes
Avg Weekly Miles,Varies (Radius-based)
No Touch Freight,No
Driver Load / Unload,Driver Unload Required (Assist tailgate palletized freight using provided pallet jack).","Category,Details
Average Weekly Pay,""$1,857 (Yearly average $96,600)""
CPM Range,$0.76 – $0.78 CPM
Stop Pay,$40.00 per stop
Drop & Hook,$25.00 per drop
Daily Rate Bonus,$94/day (Must work all 5 days to receive)
Training Pay,$240/day (New Hire); $20/hr (Safety Training)
Holiday Pay,$200/day
Off-Account Work,$225 – $400 per day (Depends on load nature)","Category,Details
Equipment Type,Automatic day cabs; 48' & 53' box/reefer trailers.
Transmission Type,Automatics
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only""
Bunks,None (Slip seat assigned by seniority)","Category,Details
SAP Drivers,Allowed (Must be at least 1 year old)
Teams Accepted,No
Owner Operators,Not Specified
Trainees,No","Category,Details
Experience Required,3 months
Residency,""Personal transportation required to/from Nassau, NY daily.""
Shift / Schedule,Start window: 1900 – 0300 (Varies daily).
Work Days,Friday – Tuesday; 6th day voluntary (mandatory during high-volume seasons).
Hiring Area,""CT, MA, NY, VT"""
JB Hunt,Ahold - Chester NY | Tier 1,NY,10918,50,,"Category,Details
Job Description,""Local dedicated delivery of fresh and frozen groceries to supermarkets and DCs within a 250-mile radius. Includes NY, NJ, CT, and PA.""
Freight Type,Reefer (Fresh and frozen grocery)
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home daily; trucks remain at the project (no take-home).
Dedicated Account?,Yes
Avg Weekly Miles,""1,409""
No Touch Freight,Mostly (Driver assist on some unloads)
Driver Load / Unload,Occasional Driver Unload","Category,Details
Average Weekly Pay,""$1,634 – $1,923 (Yearly $85k–$100k)""
CPM Range,$0.68 – $0.74 per mile
Stop Pay,$28.50 – $30.00 (Non-NYC); $62.50 (NYC Boroughs)
Short Haul Pay,N/A
Training Pay,$200/day (New Hire); $20/hr (Safety Training)
Accessorial Pay,Detention ($15/hr after 1-2 hrs); Truck Move ($50)
Holiday Pay,$280/day","Category,Details
Equipment Type,Day cab slip seat; 48 ft box reefer.
Transmission Type,Automatics and Manuals
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only""
Bunks,None","Category,Details
SAP Drivers,Allowed (Must be at least 1 year old)
Teams Accepted,No
Owner Operators,Not Specified
Trainees,No
Restrictions,No Riders; No Pets","Category,Details
Experience Required,3 months
Special Restrictions,No NYC routes until 6 months on account and NYC training completed.
Residency,""Must have reliable personal transportation to Chester, NY DC.""
Shift / Schedule,Starts between 10 AM and 2 PM (12-hour shifts).
Work Days,Friday – Tuesday; Off Tuesday and Wednesday.
Hiring Area,""CT, NJ, NY, PA"""
Swift,Costco Mira Loma,CA,91752,30,,"Category,Details
Job Description,Dedicated local/regional runs for Costco. Drivers run within a 300-mile radius of Jurupa Valley.
Freight Type,Dry Van and Reefer
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home Daily
Dedicated Account?,Yes
Avg Weekly Miles,""1,500 – 1,900""
No Touch Freight,Yes (98% Drop and Hook)
Driver Load / Unload,""Live Load, Live Unload, Drop and Hook""","Category,Details
Average Weekly Pay,""$1,100""
Day Guarantee,Average no less than $225 per day
CPM Range,Paid per completed trip
Short Haul Pay,N/A
Stop Pay,$10.00
Bonuses,No transition or hiring bonuses offered
Unload Pay,N/A","Category,Details
Equipment Type,Dry Van and Reefer
Transmission Type,""Automatics, Manuals""
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only""
Bunks,None (Day cab service)","Category,Details
SAP Drivers,No
Teams Accepted,No
Owner Operators,No
Trainees,No","Category,Details
Experience Required,6 months (Listed as First Seat/Experienced)
Residency,Must live within 30 miles of 91752 (Jurupa Valley/Ontario)
Shift / Schedule,No set shifts or schedules. Must be able to drive both nights and days.
Work Days,""Must be able to work weekdays, weekends, and all holidays.""
Hiring Area,""Jurupa Valley/Ontario, CA area"""
Epes,Philip Morris local Chester VA,VA,23261,50,,"Category,Details
Job Description,Local switching and shuttle positions between manufacturing centers and warehouses.
Freight Type,Dry Van
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home Daily
Dedicated Account?,Yes
Avg Weekly Miles,""1,000 – 1,250""
No Touch Freight,""Yes (Per """"Driver Unload: No"""")""
Driver Load / Unload,""No (Though listed as """"Labor Intensive"""" in profile summary)""","Category,Details
Average Weekly Pay,""$1,200 (Top performers $1,400 – $1,550)""
CPM Range,Hourly: $25.50
Short Haul Pay,N/A
Stop Pay,N/A
Bonuses,N/A
Unload Pay,N/A","Category,Details
Equipment Type,Day Cab Tandem Axle
Transmission Type,Automatics
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only, Driver Facing""
Bunks,None (Assigned slip seat)","Category,Details
SAP Drivers,No
Teams Accepted,No
Owner Operators,Not Specified
Trainees,No","Category,Details
Experience Required,12 Months
Security Clearances,Must pass Philip Morris security clearances and extended background check.
Residency,""Commutable distance to Chester/Richmond, VA""
Shift / Schedule,1st Shift (11am–11pm) and 3rd Shift (11pm–11am)
Work Days,Sun–Fri (Friday shifts are extended 13-hour shifts closing the week)
Hiring Area,Virginia"
Epes,Cargill Gainesville GA Part Time,GA,30501,50,,"Category,Details
Job Description,Plant-to-plant shuttle and spotting trailers in a fast-paced yard operation. High endurance required.
Freight Type,Dry Van
Driver Type,Company Driver
Home Time,Daily
Home Time Duration,Home daily
Dedicated Account?,Yes
Avg Weekly Miles,N/A (Local spotting/shuttle)
No Touch Freight,Yes (No driver unload)
Driver Load / Unload,No","Category,Details
Average Weekly Pay,$640 avg (Part-Time)
CPM Range,Hourly: $26.00 (1st shift weekends) / $27.00 (2nd shift weekends)
Short Haul Pay,N/A
Stop Pay,N/A
Bonuses,$200 Quarterly Safety Bonus
Unload Pay,N/A","Category,Details
Equipment Type,Spotter / Yard Truck
Transmission Type,Automatics
Engine,Not Specified
Camera Orientation,""Front Facing, Event Only, Driver Facing""
Bunks,None (Slip seat)","Category,Details
SAP Drivers,No
Teams Accepted,No
Owner Operators,Not Specified
Trainees,No","Category,Details
Experience Required,12 Months
Physical Demands,Labor Intensive. Getting in/out of spotter continuously for 12hr shift in all weather conditions.
Residency,""Commutable distance to Gainesville, GA.""
Shift / Schedule,Weekends: Sat & Sun (0400-1600). Possible coverage during the week.
Work Days,Saturday & Sunday (Part-time status).
Hiring Area,Georgia"
Koch,KNL Tech II St. Paul 2nd Shift,MN,55117,50,,"Category,Details
Job Description,Diesel Technician II responsible for project work and advanced repairs on tractors and trailers.
Freight Type,N/A
Driver Type,Technician
Home Time,Daily
Home Time Duration,Home Daily
Dedicated Account?,N/A
Avg Weekly Miles,N/A
No Touch Freight,N/A
Labor Intensive,Yes (Advanced mechanical repairs)","Category,Details
Average Weekly Pay,Hourly (Based on experience)
Shift Differential,+$5.00/hour for 2nd shift hours.
Weekend Differential,+50% of base pay per hour.
Bonuses,""$7,500 Sign-on Bonus (Diesel Tech II); $10,000 (Reefer Tech).""
Quarterly Bonus,Yes
Allowances,""$300/yr Boot reimbursement; $1,200/yr Tool allowance.""","Category,Details
Equipment Type,""Tractors, Trailers, and Reefers""
Transmission Type,N/A
Engine,Diesel
Camera Orientation,N/A
Shop Environment,Clean and well-maintained facility.","Category,Details
SAP Drivers,No
Teams Accepted,No
Owner Operators,No
Trainees,No","Category,Details
Experience Required,2+ years of tractor maintenance experience preferred.
Education,High school diploma or equivalent; Associate's degree preferred.
Skill Level,Ability to independently complete advanced repairs.
Shift / Schedule,2nd Shift: Monday – Friday (3:30 PM – 12:00 AM).
Work Days,Monday – Friday
Hiring Area,""St. Paul, MN area (listing mentions MI/WI/MN)"""
